,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
0,Summary,Percentile,,Median,151874,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
7,Summary,Percentile,,Median,215308,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
11,Summary,Percentile,,Median,215308,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
15,Summary,Percentile,,Median,120512,Hardware Engineer,All,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
19,Summary,Percentile,,Median,78211,Hardware Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
20,Summary,Percentile,,Median,201536,Hardware Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
21,Summary,Percentile,,Median,137145,Marketing Operations,All,Australia,https://www.levels.fyi/en-gb/t/marketing-operations/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
25,Summary,Percentile,,Median,140368,Marketing Operations,Senior,Australia,https://www.levels.fyi/en-gb/t/marketing-operations/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
26,Summary,Percentile,,Median,90065,Technical Writer,All,Australia,https://www.levels.fyi/en-gb/t/technical-writer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
27,Summary,Percentile,,Median,201531,Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/program-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
31,Summary,Percentile,,Median,201531,Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/program-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
35,Summary,Percentile,,Median,148402,Actuary,All,Australia,https://www.levels.fyi/en-gb/t/actuary/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
36,Summary,Percentile,,Median,97806,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
40,Summary,Percentile,,Median,150100,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
50,Summary,Percentile,,Median,93211,Software Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
60,Summary,Percentile,,Median,181987,Software Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
70,Summary,Percentile,,Median,198492,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
80,Summary,Percentile,,Median,137107,Venture Capitalist,All,Australia,https://www.levels.fyi/en-gb/t/venture-capitalist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
84,Summary,Percentile,,Median,219956,Chief Of Staff,All,Australia,https://www.levels.fyi/en-gb/t/chief-of-staff/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
85,Summary,Percentile,,Median,108012,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
95,Summary,Percentile,,Median,79291,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
105,Summary,Percentile,,Median,149778,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
115,Summary,Percentile,,Median,145164,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
119,Summary,Percentile,,Median,124455,Graphic Designer,All,Australia,https://www.levels.fyi/en-gb/t/graphic-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
123,Summary,Percentile,,Median,153599,Graphic Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/graphic-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
124,Summary,Percentile,,Median,139693,Security Analyst,All,Australia,https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
134,Summary,Percentile,,Median,77021,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
144,Summary,Percentile,,Median,210496,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
154,Summary,Percentile,,Median,73934,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
161,Summary,Percentile,,Median,148433,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
171,Summary,Percentile,,Median,86728,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
181,Summary,Percentile,,Median,161185,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
191,Summary,Percentile,,Median,137719,Ux Researcher,All,Australia,https://www.levels.fyi/en-gb/t/ux-researcher/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
195,Summary,Percentile,,Median,155654,Ux Researcher,Senior,Australia,https://www.levels.fyi/en-gb/t/ux-researcher/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
196,Summary,Percentile,,Median,149607,Recruiter,All,Australia,https://www.levels.fyi/en-gb/t/recruiter/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
200,Summary,Percentile,,Median,149607,Recruiter,Senior,Australia,https://www.levels.fyi/en-gb/t/recruiter/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
204,Summary,Percentile,,Median,244163,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
208,Summary,Percentile,,Median,77163,Business Development,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
209,Summary,Percentile,,Median,298054,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
213,Summary,Percentile,,Median,119283,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
223,Summary,Percentile,,Median,93341,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
233,Summary,Percentile,,Median,142254,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
243,Summary,Percentile,,Median,211120,Technical Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
250,Summary,Percentile,,Median,221086,Technical Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
257,Summary,Percentile,,Median,71436,Administrative Assistant,All,Australia,https://www.levels.fyi/en-gb/t/administrative-assistant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
261,Summary,Percentile,,Median,61934,Administrative Assistant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/administrative-assistant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
265,Summary,Percentile,,Median,83885,Administrative Assistant,Senior,Australia,https://www.levels.fyi/en-gb/t/administrative-assistant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
266,Summary,Percentile,,Median,162771,Customer Success,All,Australia,https://www.levels.fyi/en-gb/t/customer-success/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
270,Summary,Percentile,,Median,183146,Customer Success,Senior,Australia,https://www.levels.fyi/en-gb/t/customer-success/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
274,Summary,Percentile,,Median,152426,People Ops,All,Australia,https://www.levels.fyi/en-gb/t/people-ops/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
278,Summary,Percentile,,Median,164448,People Ops,Senior,Australia,https://www.levels.fyi/en-gb/t/people-ops/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
279,Summary,Percentile,,Median,116786,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
286,Summary,Percentile,,Median,74861,Mechanical Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
293,Summary,Percentile,,Median,130711,Mechanical Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
300,Summary,Percentile,,Median,130284,Biz Ops,All,Australia,https://www.levels.fyi/en-gb/t/biz-ops/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
304,Summary,Percentile,,Median,78548,Biz Ops,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/biz-ops/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
305,Summary,Percentile,,Median,149717,Biz Ops,Senior,Australia,https://www.levels.fyi/en-gb/t/biz-ops/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
309,Summary,Percentile,,Median,178921,Product Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
319,Summary,Percentile,,Median,123076,Product Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
329,Summary,Percentile,,Median,196070,Product Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
339,Summary,Percentile,,Median,158188,Bizops Manager,All,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
343,Summary,Percentile,,Median,175295,Bizops Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
347,Summary,Percentile,,Median,221079,Solution Architect,All,Australia,https://www.levels.fyi/en-gb/t/solution-architect/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
357,Summary,Percentile,,Median,124480,Solution Architect,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
367,Summary,Percentile,,Median,228153,Solution Architect,Senior,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
377,Summary,Percentile,,Median,114407,Business Analyst,All,Australia,https://www.levels.fyi/en-gb/t/business-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
387,Summary,Percentile,,Median,79928,Business Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
397,Summary,Percentile,,Median,147608,Business Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
407,Summary,Percentile,,Median,219444,Sales Engineer,All,Australia,https://www.levels.fyi/en-gb/t/sales-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
411,Summary,Percentile,,Median,127939,Sales Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/sales-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
412,Summary,Percentile,,Median,254775,Sales Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/sales-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
416,Summary,Percentile,,Median,110417,Management Consultant,All,Australia,https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
426,Summary,Percentile,,Median,88925,Management Consultant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
436,Summary,Percentile,,Median,169193,Management Consultant,Senior,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
446,Summary,Percentile,,Median,268430,Partner Manager,All,Australia,https://www.levels.fyi/en-gb/t/partner-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
450,Summary,Percentile,,Median,282021,Partner Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/partner-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
451,Summary,Percentile,,Median,152343,Human Resources,All,Australia,https://www.levels.fyi/en-gb/t/human-resources/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
455,Summary,Percentile,,Median,67523,Human Resources,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/human-resources/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
456,Summary,Percentile,,Median,156820,Human Resources,Senior,Australia,https://www.levels.fyi/en-gb/t/human-resources/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
460,Summary,Percentile,,Median,147042,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
470,Summary,Percentile,,Median,90536,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
480,Summary,Percentile,,Median,192107,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
490,Summary,Percentile,,Median,99097,Customer Service Ops,All,Australia,https://www.levels.fyi/en-gb/t/customer-service-ops/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
491,Summary,Percentile,,Median,188067,Investment Banker,All,Australia,https://www.levels.fyi/en-gb/t/investment-banker/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
495,Summary,Percentile,,Median,188067,Investment Banker,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/investment-banker/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
496,Summary,Percentile,,Median,104512,Accountant,All,Australia,https://www.levels.fyi/en-gb/t/accountant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
503,Summary,Percentile,,Median,64425,Accountant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
510,Summary,Percentile,,Median,117639,Accountant,Senior,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
517,Summary,Percentile,,Median,104911,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
524,Summary,Percentile,,Median,97540,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
531,Summary,Percentile,,Median,169448,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
538,Summary,Percentile,,Median,174984,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
542,Summary,Percentile,,Median,182977,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
546,Summary,Percentile,,Median,87553,Civil Engineer,All,Australia,https://www.levels.fyi/en-gb/t/civil-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
553,Summary,Percentile,,Median,70984,Civil Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/civil-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
560,Summary,Percentile,,Median,148827,Civil Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/civil-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
567,Summary,Percentile,,Median,245007,Software Engineering Manager,All,Australia,https://www.levels.fyi/en-gb/t/software-engineering-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
577,Summary,Percentile,,Median,111716,Chemical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/chemical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
578,Summary,Percentile,,Median,145874,Project Manager,All,Australia,https://www.levels.fyi/en-gb/t/project-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
582,Summary,Percentile,,Median,84037,Project Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/project-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
583,Summary,Percentile,,Median,166170,Project Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/project-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
587,Summary,Percentile,,Median,105261,Biomedical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/biomedical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
588,Summary,Percentile,,Median,96646,Biomedical Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/biomedical-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
