,Unnamed: 0,date,anzsco_unit_code,anzsco_unit,tech_occupation,Number,total_per_date,Per cent,month_year,Source Name,Source URL
62567,179,1986-08-01,3424,Telecommunications Trades Workers,Tech,40243.39359,6918525.052,0.5816759105,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62412,24,1986-08-01,1351,ICT Managers,Tech,6074.69064,6918525.052,0.08780326145,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62440,52,1986-08-01,2232,ICT Trainers,Tech,2314.13422,6918525.052,0.03344837523,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62448,60,1986-08-01,2247,Management and Organisation Analysts,Tech,12769.59926,6918525.052,0.1845711212,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62449,61,1986-08-01,2249,Other Information and Organisation Professionals,Tech,2369.76762,6918525.052,0.03425249749,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62451,63,1986-08-01,2252,ICT Sales Professionals,Tech,5406.23936,6918525.052,0.07814150153,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62460,72,1986-08-01,2324,"Graphic and Web Designers, and Illustrators",Tech,9877.57471,6918525.052,0.1427699493,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62466,78,1986-08-01,2334,Electronics Engineers,Tech,4131.13642,6918525.052,0.05971123019,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62511,123,1986-08-01,2600,ICT Professionals nfd,Tech,2821.99749,6918525.052,0.04078900443,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62541,153,1986-08-01,3132,Telecommunications Technical Specialists,Tech,7035.54335,6918525.052,0.1016913764,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62513,125,1986-08-01,2612,Multimedia Specialists and Web Developers,Tech,862.277,6918525.052,0.01246330675,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62540,152,1986-08-01,3131,ICT Support Technicians,Tech,14198.51882,6918525.052,0.2052246499,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
62536,148,1986-08-01,3124,Electronic Engineering Draftspersons and Technicians,Tech,17638.67912,6918525.052,0.2549485474,August 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
