,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
0,Summary,Percentile,,Median,151874,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
1,Summary,Percentile,,25th,123000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
2,Summary,Percentile,,75th,196000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
3,Summary,Percentile,,90th,229000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
7,Summary,Percentile,,Median,215308,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
8,Summary,Percentile,,25th,190000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
9,Summary,Percentile,,75th,246000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
10,Summary,Percentile,,90th,307000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
11,Summary,Percentile,,Median,215308,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
12,Summary,Percentile,,25th,190000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
13,Summary,Percentile,,75th,246000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
14,Summary,Percentile,,90th,307000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
