,date,tech_occupation,Per cent,% of labour force in tech occupations (smoothed),month_year,Source Name,Source URL
1,1986-11-01,Tech,2.469483293252,2.4631658265956666,November 1986,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
2,1987-02-01,Tech,2.466676797422,2.4819086901406666,February 1987,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
3,1987-05-01,Tech,2.509565979748,2.5066414246510003,May 1987,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
4,1987-08-01,Tech,2.543681496783,2.520719921275333,August 1987,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
5,1987-11-01,Tech,2.508912287295,2.5821965246249996,November 1987,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
6,1988-02-01,Tech,2.693995789797,2.611419625330333,February 1988,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
7,1988-05-01,Tech,2.631350798899,2.6681121198123336,May 1988,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
8,1988-08-01,Tech,2.678989770741,2.6278603394536666,August 1988,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
9,1988-11-01,Tech,2.573240448721,2.6462997559036663,November 1988,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
10,1989-02-01,Tech,2.686669048249,2.661921188551,February 1989,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
11,1989-05-01,Tech,2.725854068683,2.6928511497453336,May 1989,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
12,1989-08-01,Tech,2.666030332304,2.6411904902193335,August 1989,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
13,1989-11-01,Tech,2.531687069671,2.5967423278086668,November 1989,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
14,1990-02-01,Tech,2.592509581451,2.6044415757573334,February 1990,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
15,1990-05-01,Tech,2.68912807615,2.733299273343333,May 1990,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
16,1990-08-01,Tech,2.918260162429,2.805957331326667,August 1990,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
17,1990-11-01,Tech,2.810483755401,2.874952773787667,November 1990,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
18,1991-02-01,Tech,2.896114403533,2.8641425645126666,February 1991,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
19,1991-05-01,Tech,2.885829534604,2.923239758350333,May 1991,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
20,1991-08-01,Tech,2.987775336914,2.9339107949466663,August 1991,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
21,1991-11-01,Tech,2.928127513322,3.0026752047453336,November 1991,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
22,1992-02-01,Tech,3.092122764,3.0106273393780003,February 1992,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
23,1992-05-01,Tech,3.011631740812,3.0188726913083337,May 1992,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
24,1992-08-01,Tech,2.952863569113,2.9414353842933334,August 1992,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
25,1992-11-01,Tech,2.859810842955,2.91751529586,November 1992,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
26,1993-02-01,Tech,2.939871475512,2.895022558353,February 1993,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
27,1993-05-01,Tech,2.885385356592,2.9126563219030004,May 1993,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
28,1993-08-01,Tech,2.912712133605,2.9187029188789997,August 1993,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
29,1993-11-01,Tech,2.9580112664400002,2.9073576613713334,November 1993,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
30,1994-02-01,Tech,2.851349584069,2.900225104021333,February 1994,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
31,1994-05-01,Tech,2.891314461555,2.895912361975667,May 1994,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
32,1994-08-01,Tech,2.945073040303,2.9280475073943335,August 1994,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
33,1994-11-01,Tech,2.947755020325,2.9652120078476667,November 1994,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
34,1995-02-01,Tech,3.002807962915,3.017675519044667,February 1995,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
35,1995-05-01,Tech,3.102463573894,3.0930885870433333,May 1995,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
36,1995-08-01,Tech,3.173994224321,3.1297857239246665,August 1995,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
37,1995-11-01,Tech,3.1128993735590003,3.205905081702667,November 1995,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
38,1996-02-01,Tech,3.330821647228,3.259311263877334,February 1996,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
39,1996-05-01,Tech,3.3342127708450002,3.2629508227689996,May 1996,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
40,1996-08-01,Tech,3.123818050234,3.188774840006,August 1996,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
41,1996-11-01,Tech,3.108293698939,3.1617644247960004,November 1996,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
42,1997-02-01,Tech,3.253181525215,3.2922519786976667,February 1997,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
43,1997-05-01,Tech,3.515280711939,3.469436440091,May 1997,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
44,1997-08-01,Tech,3.639847083119,3.5039724998623334,August 1997,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
45,1997-11-01,Tech,3.356789704529,3.452824566226667,November 1997,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
46,1998-02-01,Tech,3.361836911032,3.326581921516,February 1998,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
47,1998-05-01,Tech,3.261119148987,3.3571559999129996,May 1998,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
48,1998-08-01,Tech,3.44851193972,3.4259703302363333,August 1998,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
49,1998-11-01,Tech,3.568279902002,3.4996634240080002,November 1998,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
50,1999-02-01,Tech,3.482198430302,3.566320805164333,February 1999,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
51,1999-05-01,Tech,3.648484083189,3.506579664756,May 1999,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
52,1999-08-01,Tech,3.389056480777,3.564299311872,August 1999,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
53,1999-11-01,Tech,3.65535737165,3.5817451769323334,November 1999,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
54,2000-02-01,Tech,3.70082167837,3.6413266334573335,February 2000,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
55,2000-05-01,Tech,3.567800850352,3.646184552715667,May 2000,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
56,2000-08-01,Tech,3.669931129425,3.670252564163333,August 2000,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
57,2000-11-01,Tech,3.773025712713,3.816336758301,November 2000,ABS Labour Force Survey,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release
