,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
4,Top Company,Ranking,1.0,Canva,233007,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
5,Top Company,Ranking,2.0,Amazon,207202,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
6,Top Company,Ranking,3.0,SafetyCulture,141856,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
44,Top Company,Ranking,1.0,Rokt,268658,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
45,Top Company,Ranking,2.0,Google,256699,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
46,Top Company,Ranking,3.0,Block,255868,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
54,Top Company,Ranking,1.0,Rokt,268658,Software Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
55,Top Company,Ranking,2.0,Google,256699,Software Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
56,Top Company,Ranking,3.0,Block,255868,Software Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
64,Top Company,Ranking,1.0,Rokt,268658,Software Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
65,Top Company,Ranking,2.0,Google,256699,Software Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
66,Top Company,Ranking,3.0,Block,255868,Software Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
74,Top Company,Ranking,1.0,Google,302127,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
75,Top Company,Ranking,2.0,Microsoft,287767,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
76,Top Company,Ranking,3.0,Amazon,268838,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
89,Top Company,Ranking,1.0,Amazon,165275,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
90,Top Company,Ranking,2.0,Deloitte,132755,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
91,Top Company,Ranking,3.0,Atlassian,113241,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
99,Top Company,Ranking,1.0,Amazon,165275,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
100,Top Company,Ranking,2.0,Deloitte,132755,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
101,Top Company,Ranking,3.0,Atlassian,113241,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
109,Top Company,Ranking,1.0,Amazon,165275,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
110,Top Company,Ranking,2.0,Deloitte,132755,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
111,Top Company,Ranking,3.0,Atlassian,113241,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
128,Top Company,Ranking,1.0,Amazon,330858,Security Analyst,All,Australia,https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
129,Top Company,Ranking,2.0,Google,232194,Security Analyst,All,Australia,https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
130,Top Company,Ranking,3.0,Atlassian,170838,Security Analyst,All,Australia,https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
138,Top Company,Ranking,1.0,Amazon,330858,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
139,Top Company,Ranking,2.0,Google,232194,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
140,Top Company,Ranking,3.0,Atlassian,170838,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
148,Top Company,Ranking,1.0,Amazon,330858,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
149,Top Company,Ranking,2.0,Google,232194,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
150,Top Company,Ranking,3.0,Atlassian,170838,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
158,Top Company,Ranking,1.0,Atlassian,162423,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
159,Top Company,Ranking,2.0,NAB,66426,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
160,Top Company,Ranking,3.0,Woolworths Supermarkets,51461,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
165,Top Company,Ranking,1.0,Atlassian,254974,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
166,Top Company,Ranking,2.0,Google,188116,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
167,Top Company,Ranking,3.0,Canva,182049,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
175,Top Company,Ranking,1.0,Atlassian,254974,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
176,Top Company,Ranking,2.0,Google,188116,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
177,Top Company,Ranking,3.0,Canva,182049,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
185,Top Company,Ranking,1.0,Atlassian,254974,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
186,Top Company,Ranking,2.0,Google,188116,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
187,Top Company,Ranking,3.0,Canva,182049,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
217,Top Company,Ranking,1.0,ANZ,135972,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
218,Top Company,Ranking,2.0,Westpac,113376,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
219,Top Company,Ranking,3.0,Quantium,101160,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
227,Top Company,Ranking,1.0,ANZ,135972,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
228,Top Company,Ranking,2.0,Commonwealth Bank,123895,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
229,Top Company,Ranking,3.0,Westpac,113376,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
237,Top Company,Ranking,1.0,ANZ,135972,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
238,Top Company,Ranking,2.0,Westpac,113376,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
239,Top Company,Ranking,3.0,Quantium,101160,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
247,Top Company,Ranking,1.0,Microsoft,263357,Technical Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
248,Top Company,Ranking,2.0,Amazon,218455,Technical Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
249,Top Company,Ranking,3.0,Canva,177105,Technical Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
254,Top Company,Ranking,1.0,Microsoft,263357,Technical Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
255,Top Company,Ranking,2.0,Amazon,218455,Technical Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
256,Top Company,Ranking,3.0,Canva,177105,Technical Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/technical-program-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
283,Top Company,Ranking,1.0,Perth,123707,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
284,Top Company,Ranking,2.0,Sydney,106586,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
285,Top Company,Ranking,3.0,Melbourne,98495,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
290,Top Company,Ranking,1.0,Perth,123707,Mechanical Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
291,Top Company,Ranking,2.0,Sydney,106586,Mechanical Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
292,Top Company,Ranking,3.0,Melbourne,98495,Mechanical Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
297,Top Company,Ranking,1.0,Perth,123707,Mechanical Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
298,Top Company,Ranking,2.0,Sydney,106586,Mechanical Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
299,Top Company,Ranking,3.0,Melbourne,98495,Mechanical Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
313,Top Company,Ranking,1.0,Atlassian,281124,Product Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
314,Top Company,Ranking,2.0,Google,243902,Product Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
315,Top Company,Ranking,3.0,Amazon,208318,Product Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
323,Top Company,Ranking,1.0,Atlassian,281124,Product Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
324,Top Company,Ranking,2.0,Google,243902,Product Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
325,Top Company,Ranking,3.0,Amazon,208318,Product Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
