Date,Industry,Number
Aug-06,Telecommunications Services,98.2
,Internet Service Providers and Web Search Portals,6.6
,Computer System Design and Related Services,122.9
Nov-06,Telecommunications Services,97.3
,Internet Service Providers and Web Search Portals,8.1
,Computer System Design and Related Services,115.9
Feb-07,Telecommunications Services,102
,Internet Service Providers and Web Search Portals,6
,Computer System Design and Related Services,110
May-07,Telecommunications Services,101.5
,Internet Service Providers and Web Search Portals,6.7
,Computer System Design and Related Services,120.3
Aug-07,Telecommunications Services,95.9
,Internet Service Providers and Web Search Portals,8.8
,Computer System Design and Related Services,129.1
Nov-07,Telecommunications Services,94.3
,Internet Service Providers and Web Search Portals,8.2
,Computer System Design and Related Services,131.1
Feb-08,Telecommunications Services,90
,Internet Service Providers and Web Search Portals,5.1
,Computer System Design and Related Services,126.7
May-08,Telecommunications Services,91
,Internet Service Providers and Web Search Portals,5.1
,Computer System Design and Related Services,130
Aug-08,Telecommunications Services,96
,Internet Service Providers and Web Search Portals,9.1
,Computer System Design and Related Services,141.1
Nov-08,Telecommunications Services,89.6
,Internet Service Providers and Web Search Portals,7.3
,Computer System Design and Related Services,136.1
Feb-09,Telecommunications Services,93.9
,Internet Service Providers and Web Search Portals,6.2
,Computer System Design and Related Services,144.1
May-09,Telecommunications Services,93.1
,Internet Service Providers and Web Search Portals,4.1
,Computer System Design and Related Services,155.4
Aug-09,Internet Publishing and Broadcasting,2.8
,Telecommunications Services,86.5
,Internet Service Providers and Web Search Portals,7
,Computer System Design and Related Services,159.8
Nov-09,Internet Publishing and Broadcasting,1.1
,Telecommunications Services,90.4
,Internet Service Providers and Web Search Portals,4.7
,Computer System Design and Related Services,157.6
Feb-10,Telecommunications Services,87.9
,Internet Service Providers and Web Search Portals,3.6
,Computer System Design and Related Services,159
May-10,Internet Publishing and Broadcasting,1.2
,Telecommunications Services,90.3
,Internet Service Providers and Web Search Portals,5.4
,Computer System Design and Related Services,150.2
Aug-10,Telecommunications Services,90.4
,Internet Service Providers and Web Search Portals,4.6
,Computer System Design and Related Services,163.5
Nov-10,Internet Publishing and Broadcasting,1.4
,Telecommunications Services,87.8
,Internet Service Providers and Web Search Portals,3.4
,Computer System Design and Related Services,155.4
Feb-11,Internet Publishing and Broadcasting,1.4
,Telecommunications Services,90
,Internet Service Providers and Web Search Portals,3.7
,Computer System Design and Related Services,167.9
May-11,Internet Publishing and Broadcasting,3.9
,Telecommunications Services,92.7
,Internet Service Providers and Web Search Portals,5.7
,Computer System Design and Related Services,164.1
Aug-11,Internet Publishing and Broadcasting,2
,Telecommunications Services,89.2
,Internet Service Providers and Web Search Portals,4.3
,Computer System Design and Related Services,169.7
Nov-11,Telecommunications Services,81.2
,Internet Service Providers and Web Search Portals,4.6
,Computer System Design and Related Services,178.4
Feb-12,Telecommunications Services,83.9
,Internet Service Providers and Web Search Portals,4.5
,Computer System Design and Related Services,178.3
May-12,Telecommunications Services,96.7
,Internet Service Providers and Web Search Portals,4.8
,Computer System Design and Related Services,182.3
Aug-12,Internet Publishing and Broadcasting,2.3
,Telecommunications Services,101.9
,Internet Service Providers and Web Search Portals,3.2
,Computer System Design and Related Services,177.7
Nov-12,Telecommunications Services,98.3
,Internet Service Providers and Web Search Portals,3.7
,Computer System Design and Related Services,180.4
Feb-13,Telecommunications Services,88.8
,Internet Service Providers and Web Search Portals,2.4
,Computer System Design and Related Services,178.2
May-13,Telecommunications Services,102
,Internet Service Providers and Web Search Portals,6.5
,Computer System Design and Related Services,178.4
Aug-13,Telecommunications Services,87.1
,Internet Service Providers and Web Search Portals,3.2
,Computer System Design and Related Services,185.6
Nov-13,Internet Publishing and Broadcasting,1.5
,Telecommunications Services,76.3
,Internet Service Providers and Web Search Portals,3
,Computer System Design and Related Services,168.2
Feb-14,Internet Publishing and Broadcasting,1.2
,Telecommunications Services,91.2
,Internet Service Providers and Web Search Portals,3.3
,Computer System Design and Related Services,178.9
May-14,Telecommunications Services,97
,Internet Service Providers and Web Search Portals,1.9
,Computer System Design and Related Services,179.3
Aug-14,Telecommunications Services,102.7
,Internet Service Providers and Web Search Portals,2.6
,Computer System Design and Related Services,202
Nov-14,Internet Publishing and Broadcasting,2.4
,Telecommunications Services,94.1
,Internet Service Providers and Web Search Portals,4.4
,Computer System Design and Related Services,183.2
Feb-15,Internet Publishing and Broadcasting,1.8
,Telecommunications Services,88.2
,Internet Service Providers and Web Search Portals,4.3
,Computer System Design and Related Services,185.5
May-15,Internet Publishing and Broadcasting,1.8
,Telecommunications Services,97.6
,Internet Service Providers and Web Search Portals,2.8
,Computer System Design and Related Services,203.9
Aug-15,Internet Publishing and Broadcasting,1.7
,Telecommunications Services,92.2
,Internet Service Providers and Web Search Portals,8
,Computer System Design and Related Services,203.1
Nov-15,Telecommunications Services,98.8
,Internet Service Providers and Web Search Portals,4.5
,Computer System Design and Related Services,191.1
Feb-16,Internet Publishing and Broadcasting,1.8
,Telecommunications Services,93.1
,Internet Service Providers and Web Search Portals,9.7
,Computer System Design and Related Services,190.9
May-16,Telecommunications Services,89.9
,Internet Service Providers and Web Search Portals,7.2
,Computer System Design and Related Services,206.4
Aug-16,Internet Publishing and Broadcasting,0.8
,Telecommunications Services,100.6
,Internet Service Providers and Web Search Portals,2.6
,Computer System Design and Related Services,214.1
Nov-16,Internet Publishing and Broadcasting,1.5
,Telecommunications Services,99
,Internet Service Providers and Web Search Portals,4.2
,Computer System Design and Related Services,206.2
Feb-17,Internet Publishing and Broadcasting,2.2
,Telecommunications Services,89.2
,Internet Service Providers and Web Search Portals,3.6
,Computer System Design and Related Services,212.6
May-17,Internet Publishing and Broadcasting,1.5
,Telecommunications Services,100.2
,Internet Service Providers and Web Search Portals,1.7
,Computer System Design and Related Services,227.5
Aug-17,Telecommunications Services,95.6
,Internet Service Providers and Web Search Portals,5.9
,Computer System Design and Related Services,230.4
Nov-17,Internet Publishing and Broadcasting,1
,Telecommunications Services,88.6
,Internet Service Providers and Web Search Portals,3.9
,Computer System Design and Related Services,227.5
Feb-18,Telecommunications Services,98.6
,Internet Service Providers and Web Search Portals,2.4
,Computer System Design and Related Services,235.1
May-18,Internet Publishing and Broadcasting,1.9
,Telecommunications Services,103.1
,Internet Service Providers and Web Search Portals,2.8
,Computer System Design and Related Services,246.2
Aug-18,Telecommunications Services,104.4
,Internet Service Providers and Web Search Portals,4.6
,Computer System Design and Related Services,277.7
Nov-18,Internet Publishing and Broadcasting,2.5
,Telecommunications Services,99.7
,Internet Service Providers and Web Search Portals,2.2
,Computer System Design and Related Services,227.8
Feb-19,Internet Publishing and Broadcasting,3.5
,Telecommunications Services,96.5
,Internet Service Providers and Web Search Portals,4.7
,Computer System Design and Related Services,246.9
May-19,Telecommunications Services,92.5
,Internet Service Providers and Web Search Portals,7.2
,Computer System Design and Related Services,247.5
Aug-19,Internet Publishing and Broadcasting,1.9
,Telecommunications Services,90.9
,Internet Service Providers and Web Search Portals,4.4
,Computer System Design and Related Services,253.6
Nov-19,Internet Publishing and Broadcasting,0.7
,Telecommunications Services,90.6
,Internet Service Providers and Web Search Portals,6.7
,Computer System Design and Related Services,243.6
Feb-20,Telecommunications Services,90.3
,Internet Service Providers and Web Search Portals,4.5
,Computer System Design and Related Services,268.5
May-20,Internet Publishing and Broadcasting,1.2
,Telecommunications Services,85.1
,Internet Service Providers and Web Search Portals,6.1
,Computer System Design and Related Services,265.8
Aug-20,Internet Publishing and Broadcasting,3.7
,Telecommunications Services,84.8
,Internet Service Providers and Web Search Portals,5.3
,Computer System Design and Related Services,275.2
Nov-20,Internet Publishing and Broadcasting,2.3
,Telecommunications Services,85.7
,Internet Service Providers and Web Search Portals,5.3
,Computer System Design and Related Services,285.3
Feb-21,Internet Publishing and Broadcasting,3.9
,Telecommunications Services,81.8
,Internet Service Providers and Web Search Portals,4.7
,Computer System Design and Related Services,296.5
May-21,Internet Publishing and Broadcasting,1.8
,Telecommunications Services,80.1
,Internet Service Providers and Web Search Portals,1.4
,Computer System Design and Related Services,300.1
Aug-21,Telecommunications Services,67.4
,Internet Service Providers and Web Search Portals,6.3
