Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL
Summary,Percentile,,Median,122632,Graphic Designer,All,Australia,https://www.levels.fyi/en-gb/t/graphic-designer/locations/australia
Summary,Percentile,,25th,96,Graphic Designer,All,Australia,https://www.levels.fyi/en-gb/t/graphic-designer/locations/australia
Summary,Percentile,,75th,153000,Graphic Designer,All,Australia,https://www.levels.fyi/en-gb/t/graphic-designer/locations/australia
Summary,Percentile,,90th,164000,Graphic Designer,All,Australia,https://www.levels.fyi/en-gb/t/graphic-designer/locations/australia
Summary,Percentile,,Median,154093,Graphic Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/graphic-designer/levels/senior/locations/australia
Summary,Percentile,,Median,144363,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,25th,97,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,75th,180000,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,90th,208000,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,Median,282927,Partner Manager,All,Australia,https://www.levels.fyi/en-gb/t/partner-manager/locations/australia
Summary,Percentile,,25th,220000,Partner Manager,All,Australia,https://www.levels.fyi/en-gb/t/partner-manager/locations/australia
Summary,Percentile,,75th,300000,Partner Manager,All,Australia,https://www.levels.fyi/en-gb/t/partner-manager/locations/australia
Summary,Percentile,,90th,390000,Partner Manager,All,Australia,https://www.levels.fyi/en-gb/t/partner-manager/locations/australia
Summary,Percentile,,Median,297009,Partner Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/partner-manager/levels/senior/locations/australia
Summary,Percentile,,Median,109735,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
Summary,Percentile,,25th,86,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
Summary,Percentile,,75th,150000,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
Summary,Percentile,,90th,192000,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
