Advertised salary data,,
Only use with express permission from SEEK,,
,,
industry,date,ave_salary
ICT,1/01/2016,"116,137"
ICT,1/02/2016,"117,879"
ICT,1/03/2016,"118,274"
ICT,1/04/2016,"118,988"
ICT,1/05/2016,"118,937"
ICT,1/06/2016,"118,570"
ICT,1/07/2016,"117,221"
ICT,1/08/2016,"117,784"
ICT,1/09/2016,"118,453"
ICT,1/10/2016,"117,446"
ICT,1/11/2016,"118,695"
ICT,1/12/2016,"120,297"
ICT,1/01/2017,"118,438"
ICT,1/02/2017,"119,289"
ICT,1/03/2017,"120,433"
ICT,1/04/2017,"121,249"
ICT,1/05/2017,"121,141"
ICT,1/06/2017,"120,732"
ICT,1/07/2017,"122,083"
ICT,1/08/2017,"121,499"
ICT,1/09/2017,"122,446"
ICT,1/10/2017,"123,493"
ICT,1/11/2017,"122,870"
ICT,1/12/2017,"124,065"
ICT,1/01/2018,"123,014"
ICT,1/02/2018,"123,948"
ICT,1/03/2018,"124,314"
ICT,1/04/2018,"124,401"
ICT,1/05/2018,"124,174"
ICT,1/06/2018,"124,382"
ICT,1/07/2018,"125,121"
ICT,1/08/2018,"125,183"
ICT,1/09/2018,"124,632"
ICT,1/10/2018,"124,782"
ICT,1/11/2018,"126,202"
ICT,1/12/2018,"126,251"
ICT,1/01/2019,"125,020"
ICT,1/02/2019,"127,207"
ICT,1/03/2019,"126,223"
ICT,1/04/2019,"127,044"
ICT,1/05/2019,"126,658"
ICT,1/06/2019,"127,145"
ICT,1/07/2019,"126,744"
ICT,1/08/2019,"126,967"
ICT,1/09/2019,"127,779"
ICT,1/10/2019,"126,660"
ICT,1/11/2019,"128,590"
ICT,1/12/2019,"128,263"
ICT,1/01/2020,"128,194"
ICT,1/02/2020,"128,295"
ICT,1/03/2020,"130,667"
ICT,1/04/2020,"134,206"
ICT,1/05/2020,"130,756"
ICT,1/06/2020,"127,319"
ICT,1/07/2020,"127,864"
ICT,1/08/2020,"127,367"
ICT,1/09/2020,"127,182"
ICT,1/10/2020,"127,726"
ICT,1/11/2020,"127,302"
ICT,1/12/2020,"127,458"
ICT,1/01/2021,"127,360"
ICT,1/02/2021,"128,092"
ICT,1/03/2021,"126,915"
ICT,1/04/2021,"127,772"
ICT,1/05/2021,"127,950"
ICT,1/06/2021,"128,929"
ICT,1/07/2021,"129,218"
ICT,1/08/2021,"129,373"
ICT,1/09/2021,"131,010"
ICT,1/10/2021,"130,146"
ICT,1/11/2021,"130,863"
ICT,1/12/2021,"130,674"
ICT,1/01/2022,"130,312"
ICT,1/02/2022,"129,511"
ICT,1/03/2022,"129,221"
ICT,1/04/2022,"130,229"
ICT,1/05/2022,"132,055"
ICT,1/06/2022,"131,851"
ICT,1/07/2022,"132,507"
ICT,1/08/2022,"133,192"
ICT,1/09/2022,"134,177"
ICT,1/10/2022,"134,591"
ICT,1/11/2022,"135,167"
