reporting_year,section,subsection,question_index,upper_question_text,question_text,additional_question_info_1,additional_question_info_2,response_type,response
2023-24,Harm Prevention,Domestic Violence,DV.Add.VR.pfdvl.No,5.14 Have any of your employees taken paid family and domestic violence leave in the last 12 months?,5.14 Have any of your employees taken paid family and domestic violence leave in the last 12 months?,NA,NA,Option,No
2023-24,Harm Prevention,Domestic Violence,DV.Add.VR.pfdvl.Ys,5.14 Have any of your employees taken paid family and domestic violence leave in the last 12 months?,5.14 Have any of your employees taken paid family and domestic violence leave in the last 12 months?,NA,NA,Option,Yes
2023-24,Harm Prevention,Domestic Violence,DV.Add.VR.pfdvl.Ys.HmEm,5.14 Have any of your employees taken paid family and domestic violence leave in the last 12 months?,5.14c How many employees took all the days of paid family and domestic violence leave that they were entitled to in the last 12 months?,NA,NA,Numeric,NA
2023-24,Harm Prevention,Domestic Violence,DV.Add.VR.pfdvl.Ys.hm12m,5.14 Have any of your employees taken paid family and domestic violence leave in the last 12 months?,5.14a How many employees took paid family and domestic violence leave in the last 12 months?,NA,NA,Numeric,NA
2023-24,Harm Prevention,Domestic Violence,DV.Add.VR.pfdvl.Ys.tn12m,5.14 Have any of your employees taken paid family and domestic violence leave in the last 12 months?,5.14b What is the total number of days of paid family and domestic violence leave taken by all your employees in the last 12 months?,NA,NA,Numeric,NA
2023-24,Harm Prevention,Domestic Violence,DV.DV.N,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,NA,NA,Option,No
2023-24,Harm Prevention,Domestic Violence,DV.DV.N.Dev,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,NA,NA,Option,Currently under development
2023-24,Harm Prevention,Domestic Violence,DV.DV.N.Dev.Date,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,NA,NA,Date,NA
2023-24,Harm Prevention,Domestic Violence,DV.DV.N.Otr,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,NA,NA,Option,Other
2023-24,Harm Prevention,Domestic Violence,DV.DV.Y,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,NA,NA,Option,Yes
2023-24,Harm Prevention,Domestic Violence,DV.DV.Y.Pol,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,NA,NA,Option,Policy
2023-24,Harm Prevention,Domestic Violence,DV.DV.Y.Strat,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,5.11 Do you have a formal policy and/or formal strategy to support employees who are experiencing family or domestic violence?,NA,NA,Option,Strategy
2023-24,Harm Prevention,Domestic Violence,DV.Mch.PLv.N,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,NA,Access to paid domestic violence leave,Option,No
2023-24,Harm Prevention,Domestic Violence,DV.Mch.PLv.Y,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,NA,Access to paid domestic violence leave,Option,Yes
2023-24,Harm Prevention,Domestic Violence,DV.Mch.PLv.Y.Lim,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13a Is domestic violence leave unlimited?,Paid domestic violence leave,Access to paid domestic violence leave,Option,No
2023-24,Harm Prevention,Domestic Violence,DV.Mch.PLv.Y.Unlim,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13a Is domestic violence leave unlimited?,Paid domestic violence leave,Access to paid domestic violence leave,Option,Yes
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Unp.N,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,NA,Access to unpaid domestic violence leave,Option,No
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Unp.Y,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,NA,Access to unpaid domestic violence leave,Option,Yes
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Unp.Y.Lim,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13a Is domestic violence leave unlimited?,Unpaid domestic violence leave,Access to unpaid domestic violence leave,Option,No
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Unp.Y.Unlim,5.13 Do you have the following types of leave in place to support employees who are experiencing family or domestic violence?,5.13a Is domestic violence leave unlimited?,Unpaid domestic violence leave,Access to unpaid domestic violence leave,Option,Yes
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Med.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Access to medical services (e.g. doctor or nurse)
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Conf.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Confidentiality of matters disclosed
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Saf.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Workplace safety planning
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Ref.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Referral of employees to appropriate domestic violence support services for expert advice
2023-24,Harm Prevention,Domestic Violence,DV.Mch.EmAc.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Emergency accommodation assistance
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Flx.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Flexible working arrangements
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Loc.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Offer change to office location
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Fin.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Provision of financial support (e.g. advance bonus payment or advanced pay)
