Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL
Summary,Percentile,,Median,151874,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,25th,123000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,75th,196000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,90th,229000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Top Company,Ranking,1,Canva,233007,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Top Company,Ranking,2,Amazon,207202,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Top Company,Ranking,3,SafetyCulture,141856,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,Median,215308,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,25th,190000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,75th,246000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,90th,307000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,Median,215308,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,25th,190000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,75th,246000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,90th,307000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,Median,120512,Hardware Engineer,All,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/locations/australia
Summary,Percentile,,25th,92,Hardware Engineer,All,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/locations/australia
Summary,Percentile,,75th,141000,Hardware Engineer,All,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/locations/australia
Summary,Percentile,,90th,220000,Hardware Engineer,All,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/locations/australia
Summary,Percentile,,Median,78211,Hardware Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/levels/entry-level/locations/australia
Summary,Percentile,,Median,201536,Hardware Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/hardware-engineer/levels/senior/locations/australia
Summary,Percentile,,Median,137145,Marketing Operations,All,Australia,https://www.levels.fyi/en-gb/t/marketing-operations/locations/australia
Summary,Percentile,,25th,106000,Marketing Operations,All,Australia,https://www.levels.fyi/en-gb/t/marketing-operations/locations/australia
Summary,Percentile,,75th,148000,Marketing Operations,All,Australia,https://www.levels.fyi/en-gb/t/marketing-operations/locations/australia
Summary,Percentile,,90th,168000,Marketing Operations,All,Australia,https://www.levels.fyi/en-gb/t/marketing-operations/locations/australia
Summary,Percentile,,Median,140368,Marketing Operations,Senior,Australia,https://www.levels.fyi/en-gb/t/marketing-operations/levels/senior/locations/australia
Summary,Percentile,,Median,90065,Technical Writer,All,Australia,https://www.levels.fyi/en-gb/t/technical-writer/locations/australia
Summary,Percentile,,Median,201531,Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/program-manager/locations/australia
Summary,Percentile,,25th,171000,Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/program-manager/locations/australia
Summary,Percentile,,75th,241000,Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/program-manager/locations/australia
Summary,Percentile,,90th,288000,Program Manager,All,Australia,https://www.levels.fyi/en-gb/t/program-manager/locations/australia
Summary,Percentile,,Median,201531,Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/program-manager/levels/senior/locations/australia
Summary,Percentile,,25th,174000,Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/program-manager/levels/senior/locations/australia
Summary,Percentile,,75th,241000,Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/program-manager/levels/senior/locations/australia
Summary,Percentile,,90th,288000,Program Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/program-manager/levels/senior/locations/australia
Summary,Percentile,,Median,148402,Actuary,All,Australia,https://www.levels.fyi/en-gb/t/actuary/locations/australia
Summary,Percentile,,Median,97806,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,25th,77,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,75th,113000,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,90th,126000,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,Median,150100,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia
Summary,Percentile,,25th,113000,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia
