Computer System Design and Related Services,Internet Publishing and Broadcasting,Internet Service Providers and Web Search Portals,Telecommunications Services,Total number of people in the tech sector
122900.0,,6600.0,98200.0,227700.0
115900.0,,8100.0,97300.0,221300.0
110000.0,,6000.0,102000.0,218000.0
120300.0,,6700.0,101500.0,228500.0
129100.0,,8800.0,95900.0,233800.0
131100.0,,8200.0,94300.0,233600.0
126700.0,,5100.0,90000.0,221800.0
130000.0,,5100.0,91000.0,226100.0
141100.0,,9100.0,96000.0,246200.0
136100.0,,7300.0,89600.0,233000.0
144100.0,,6200.0,93900.0,244200.0
155400.0,,4100.0,93100.0,252600.0
159800.0,2800.0,7000.0,86500.0,256100.0
157600.0,1100.0,4700.0,90400.0,253800.0
159000.0,,3600.0,87900.0,250500.0
150200.0,1200.0,5400.0,90300.0,247100.0
163500.0,,4600.0,90400.0,258500.0
155400.0,1400.0,3400.0,87800.0,248000.0
167900.0,1400.0,3700.0,90000.0,263000.0
164100.0,3900.0,5700.0,92700.0,266400.0
169700.0,2000.0,4300.0,89200.0,265200.0
178400.0,,4600.0,81200.0,264200.0
178300.0,,4500.0,83900.0,266700.0
182300.0,,4800.0,96700.0,283800.0
177700.0,2300.0,3200.0,101900.0,285100.0
180400.0,,3700.0,98300.0,282400.0
178200.0,,2400.0,88800.0,269400.0
178400.0,,6500.0,102000.0,286900.0
185600.0,,3200.0,87100.0,275900.0
168200.0,1500.0,3000.0,76300.0,249000.0
178900.0,1200.0,3300.0,91200.0,274600.0
179300.0,,1900.0,97000.0,278200.0
202000.0,,2600.0,102700.0,307300.0
183200.0,2400.0,4400.0,94100.0,284100.0
185500.0,1800.0,4300.0,88200.0,279800.0
203900.0,1800.0,2800.0,97600.0,306100.0
203100.0,1700.0,8000.0,92200.0,305000.0
191100.0,,4500.0,98800.0,294400.0
190900.0,1800.0,9700.0,93100.0,295500.0
206400.0,,7200.0,89900.0,303500.0
214100.0,800.0,2600.0,100600.0,318100.0
206200.0,1500.0,4200.0,99000.0,310900.0
212600.0,2200.0,3600.0,89200.0,307600.0
227500.0,1500.0,1700.0,100200.0,330900.0
230400.0,,5900.0,95600.0,331900.0
227500.0,1000.0,3900.0,88600.0,321000.0
235100.0,,2400.0,98600.0,336100.0
246200.0,1900.0,2800.0,103100.0,354000.0
277700.0,,4600.0,104400.0,386700.0
227800.0,2500.0,2200.0,99700.0,332200.0
246900.0,3500.0,4700.0,96500.0,351600.0
247500.0,,7200.0,92500.0,347200.0
253600.0,1900.0,4400.0,90900.0,350800.0
243600.0,700.0,6700.0,90600.0,341600.0
268500.0,,4500.0,90300.0,363300.0
265800.0,1200.0,6100.0,85100.0,358200.0
275200.0,3700.0,5300.0,84800.0,369000.0
285300.0,2300.0,5300.0,85700.0,378600.0
296500.0,3900.0,4700.0,81800.0,386900.0
300100.0,1800.0,1400.0,80100.0,383400.0
282600.0,,6300.0,67400.0,356300.0
304100.0,,4200.0,77300.0,385600.0
318400.0,,3900.0,86400.0,408700.0
319600.0,2300.0,4800.0,84000.0,410700.0
360900.0,4700.0,1700.0,82600.0,449900.0
381600.0,3200.0,1300.0,75500.0,461600.0
341800.0,1800.0,4500.0,79200.0,427300.0
329100.0,,4800.0,85300.0,419200.0
340400.0,6100.0,6200.0,73900.0,426600.0
348400.0,2000.0,6400.0,76100.0,432900.0
343200.0,3400.0,4300.0,73900.0,424800.0
352100.0,3500.0,6500.0,90900.0,453000.0
355400.0,1500.0,5300.0,74100.0,436300.0
341300.0,5800.0,2900.0,71300.0,421300.0
313200.0,5600.0,5300.0,66400.0,390500.0
