Sector,manager_type,Men,Women
Direct Tech Sector (All Companies),Mid to entry level management,65.0,35.0
Direct Tech Sector (All Companies),Non-managers,65.0,35.0
Direct Tech Sector (All Companies),Top level management,61.2,38.8
Financial and Insurance Services,Mid to entry level management,49.5,50.5
Financial and Insurance Services,Non-managers,46.3,53.7
Financial and Insurance Services,Top level management,60.6,39.4
"Professional, Scientific and Technical Services",Mid to entry level management,56.9,43.1
"Professional, Scientific and Technical Services",Non-managers,53.6,46.4
"Professional, Scientific and Technical Services",Top level management,60.7,39.3
Tech Sector (TCA Members),Mid to entry level management,64.6,35.4
Tech Sector (TCA Members),Non-managers,60.4,39.6
Tech Sector (TCA Members),Top level management,54.2,45.8
