,month_year,Business & Data Analysts,Hardware Engineers,Information Technology,Network & Security,"Product, Graphic, UX Design",Software Engineers,Technical Management,Telecom
0,August 1986,18382.2387,21769.81554,10598.00447,27355.38045,9877.57471,20136.96568,8388.82486,53225.95748
1,August 1987,19979.60547,22981.52667,11917.38962,32081.58513,10720.63352,24073.736559999998,11491.5488,47158.41141
2,August 1988,20741.29579,26037.41972,12583.27182,35664.27186,11525.76412,28124.22203,11702.80443,50614.74047
3,August 1989,23102.05861,23436.553809999998,15045.375759999999,38364.36447,12557.02252,31883.55508,13279.57722,48023.01127
4,August 1990,25501.30626,24235.685550000002,16075.17033,44863.257,11748.85697,39817.943660000004,12839.649370000001,52775.38496
5,August 1991,28399.3096,21905.60125,17244.37527,45549.88702,14088.01358,40161.38058,12815.53595,47525.3878
6,August 1992,26543.0065,23256.32749,16157.89356,46439.4918,13565.57366,40108.662860000004,13807.731179999999,44934.60139
7,August 1993,28289.35402,21559.06044,16953.66753,47362.66256,13943.98462,39905.95692,11940.38765,41102.392139999996
8,August 1994,29667.011169999998,20233.454279999998,17445.97782,51051.00131,16246.62159,41528.46695,14685.00244,40675.09125
9,August 1995,32127.47818,20092.71732,18871.34653,59185.62591,17849.45382,52460.617640000004,12626.485700000001,45972.063330000004
10,August 1996,34186.25507,18361.1471,19844.489869999998,52582.57465,22305.98763,50936.24665,17653.13714,42340.74029
11,August 1997,41763.41408,22658.17092,19402.80501,62255.793359999996,27141.86187,58064.39019,19408.25926,49603.829509999996
12,August 1998,45994.775680000006,13695.71386,25291.53584,56171.402279999995,25344.3388,65904.88633,20089.11806,39087.96469
13,August 1999,39530.15895,15872.54768,24810.0874,66373.22485,20437.37416,66099.17934999999,17892.13324,40566.9572
14,August 2000,52185.70262,16611.03774,26603.26156,69936.73017,28937.32606,74932.28568999999,21664.50992,36178.28437
15,August 2001,59497.40937,17706.45603,28068.19858,74827.59575000001,29601.18383,77697.18207,33061.77309,33766.84814
16,August 2002,57987.71684,12321.69057,29004.05867,80717.78947,35013.21977,85075.25172999999,33380.77534,35962.53992
17,August 2003,51854.34196,15032.843029999998,29083.173459999998,83751.75656000001,35080.96933,84636.03114,31204.67483,36834.33417
18,August 2004,48804.52332,17475.37026,28005.23291,84380.29841,30808.152,76042.55516,40375.81209,33716.65391
19,August 2005,60061.86138,16102.913369999998,29201.22662,89161.5549,39915.19931,75239.07716999999,40568.72496,32337.74276
20,August 2006,60694.70923,14496.51665,36070.43822,103535.55712000001,40290.48094,74385.50227,49668.33876,38654.34513
21,August 2007,67662.36958,20661.46246,36888.88662,102121.637,40035.43031,91022.28156,45579.41109,39312.76883
22,August 2008,68794.86647,14446.0413,50904.52317,120935.26642,36962.48725,98710.13965,32994.56496,36969.132020000005
23,August 2009,65419.450970000005,13404.80397,47045.99098,106842.76414,42741.64759,93208.26706,43025.27411,35241.03154
24,August 2010,72253.06799000001,11339.92041,48339.357650000005,115586.41756,44835.45927,86595.71164,41611.99334,35545.97017
25,August 2011,73226.40264,14210.139869999999,48525.62408,111575.59834,45966.17584,99427.87071,51052.39365,35796.55694
26,August 2012,86327.72983,17628.97781,51548.40953,123051.26699999999,42572.52836,100662.02741,55743.685190000004,35340.51076
27,August 2013,78130.61314,18147.12455,53781.04863,122602.82053,51440.56942,112684.77237,47597.866649999996,31522.6829
28,August 2014,89744.60616,12399.1605,57699.11477,148049.82100999999,50713.56366,90501.34712,65204.86489,40389.32993000001
29,August 2015,83917.79673999999,13231.090049999999,59435.84214,134155.54918,52356.49258,106122.71644,57244.96398,34962.10209
30,August 2016,93471.27563,15803.93706,68956.0404,122459.32974,56483.61145,111558.50402000001,55029.304099999994,42245.69442
31,August 2017,91072.84314,16414.38929,60272.66775,120303.97825,62602.79956,118706.96275,67867.99963,28077.69601
32,August 2018,103923.9338,17438.42785,71164.75069,158372.55041,61386.92821,129418.46067,54792.962380000004,41730.53312
33,August 2019,108412.15763,13796.22211,61176.42404,164189.06659,57059.68504,147950.9775,49891.9718,40954.588480000006
34,August 2020,112374.90806,15101.82559,55976.013600000006,182984.12585,59671.03675,155320.56167999998,63110.25378,41536.49125
35,August 2021,123053.26264999999,7287.99062,76983.00618,185218.71545999998,48897.89869,158771.39059,66809.42435,36608.166540000006
36,August 2022,149449.88024,12612.73945,88152.9885,179758.08822,53725.42808,171343.86261,84076.94175999999,33806.93291
37,August 2023,150645.22821,15773.092639999999,91237.31851,202028.02496,52258.44809,171994.14352,87195.05446,40617.2045
38,August 2024,147865.21056,13963.15993,94788.54479,210323.74551,47458.50029,202139.04843,76590.34595999999,37394.34453
39,February 1987,17995.20214,22617.02341,11173.15689,28352.02852,13276.97367,21693.530189999998,9520.35161,48588.01289
40,February 1988,19285.74507,23596.48601,12234.65473,35142.51455000001,13741.34412,27417.74338,11994.43265,51829.15354000001
41,February 1989,20512.07624,25571.74404,13169.6649,36900.725439999995,14120.17865,27728.5015,9882.61822,55400.99353
42,February 1990,22959.22334,21441.756820000002,15497.97785,41204.16009,13425.37396,32902.71669,13189.65424,41672.4072
43,February 1991,26428.20779,23642.253829999998,16629.619590000002,46994.83512,11815.99416,40680.05492,12326.418959999999,44737.72075
44,February 1992,27670.37009,25140.81984,17331.08699,48511.951539999995,14606.71088,41912.20193,12880.90322,46859.9471
45,February 1993,26531.461219999997,24285.45646,16613.17427,44672.42812,15604.70626,38710.26348,14057.20179,40925.83297
46,February 1994,26881.31884,21191.78918,15883.63586,47945.33861,16846.72812,37298.72425000001,12474.04767,42132.89703
47,February 1995,29946.92088,20348.93105,18101.96955,52412.471919999996,19956.15256,42854.988900000004,13310.374759999999,44790.50588
48,February 1996,36022.89614,22667.76455,19730.89544,63805.23059000001,16145.7007,54011.26571,14238.53097,48057.36971
49,February 1997,34371.41012,19530.94088,21333.4357,57257.26341,23438.93107,49411.098119999995,21186.459430000003,43204.34925
50,February 1998,38881.34444,18786.760739999998,23492.203930000003,57029.81042,22135.58592,60716.82243,19519.63358,42269.06303
51,February 1999,43453.92555,15526.71633,24755.40025,56704.92891,25399.46147,69228.36819000001,24307.92005,38576.68889
52,February 2000,50106.63472,17479.36904,29226.54635,69942.98797,22308.87363,69735.00027,21064.62788,44120.849350000004
53,February 2001,51172.39177,14967.65565,27000.75848,80496.51634999999,30933.02716,82105.56443,30677.88042,40023.64587
54,February 2002,57187.05213,16182.47487,29936.58649,82365.24145,26181.56915,83776.11046000001,35976.3556,32354.97837
55,February 2003,56496.00647,17179.273849999998,28426.14263,84317.81808,30993.58591,86468.67020000001,35905.11245,38435.40265
56,February 2004,58467.22552000001,16237.71694,33545.2882,81544.45636,33389.38513,85234.3563,34542.19352,35672.78664
57,February 2005,49927.78415,24695.07256,26718.376360000002,90785.54952,36053.03199,72438.18440999999,43611.017069999994,32537.59787
58,February 2006,60430.83486,15179.87941,32975.34083,93008.98985,37771.42657,81696.21526,50433.39791,38153.40535
59,February 2007,61513.86907,13675.078819999999,32833.64249,97031.18683,40983.95986,79010.3288,48768.41205,34377.05614
60,February 2008,77937.36807,19379.60564,36020.16891,102952.90719,44622.07244,88766.26819999999,42996.79624,37616.02214
61,February 2009,71933.73375,17960.20769,40143.94274,124710.36812999999,48248.52103,86533.75356,48827.87406,26593.51195
62,February 2010,76166.04984,12448.44254,50126.23831,122767.2981,42634.06492,86090.88384,44755.21022,39177.7302
63,February 2011,67608.58811,15864.6439,46165.12459,117933.35397,58872.43419,93472.40372999999,47602.63641000001,42872.17057
64,February 2012,77551.94135000001,17467.35725,49630.277649999996,123636.03053,52548.71898,93396.99548,46286.661519999994,29054.312550000002
65,February 2013,83573.35526,20078.60723,57323.72507,124020.90937000001,56880.89727,94113.18747,50558.63667,33387.385070000004
66,February 2014,81569.07844000001,12547.62802,47517.82572,124947.30515,49998.74048,99614.44067,51666.66116,34005.68313
67,February 2015,82803.17038,15395.50628,57529.43068,140047.71007,52440.12051,99611.01441,68460.98533,33730.79184
68,February 2016,93012.97433000001,19282.201780000003,69565.67279,119212.50752000001,49822.157,105761.8168,54546.605619999995,39842.713319999995
69,February 2017,82911.10778,14137.18752,64011.77929,114102.87869,56512.55436,112140.40921,59858.31917,41191.9985
70,February 2018,89184.55537999999,11976.24689,59281.76474,146275.90101,54761.54284,130939.67042000001,65500.4104,42350.02648
71,February 2019,130644.0611,17106.78064,54598.59727,168340.54241000002,53404.21807,153021.1659,51678.85635,49944.53735
72,February 2020,121606.67546,16137.587769999998,67868.099,170662.76841999998,48803.07879,131403.29525999998,62929.158919999994,48598.450020000004
73,February 2021,119665.42358999999,12493.77715,91887.33251000001,192354.85857,48581.27442,165224.53505,66777.36435999999,37318.53017
74,February 2022,134340.21324,12859.64286,86397.02035,195843.71899,70664.2938,163796.53779,71784.03218000001,39913.57159
75,February 2023,161850.27559,13810.14417,80561.11491,188246.19663,48074.27207,194505.35708,94079.00517,37391.328629999996
76,February 2024,170062.31355000002,9993.113,100587.95021,197685.17655,58871.44463,206898.38023,94581.06392,33006.50353
77,February 2025,144440.71651,19217.44054,91518.62355,200253.71878000002,49556.66874,186655.90806,82495.83874,36923.0066
78,May 1987,20179.3791,20394.62987,11700.50764,31067.293299999998,10505.89257,24747.92966,11030.261890000002,48641.71403
79,May 1988,20054.46535,24594.73472,12308.15295,35018.13829,12202.53899,27662.908199999998,12426.663550000001,49263.876729999996
80,May 1989,22144.145089999998,24047.28465,14379.59303,37840.82882,16903.06353,30476.16169,11947.24609,52719.13201
81,May 1990,24376.56233,23723.364660000003,15229.98243,41752.63456,12690.86381,34077.341329999996,12240.61544,48577.35256
82,May 1991,27500.97958,22487.319130000003,16767.62408,45635.512109999996,11893.46773,40314.18127,12759.38611,44957.65451
83,May 1992,26204.70742,25010.42506,16572.68875,46533.10608,17385.57025,38442.455449999994,13134.294280000002,46546.41902
84,May 1993,28513.59087,22591.10316,17029.68106,45203.61608,15444.00856,38012.761900000005,13007.00027,40079.22509
85,May 1994,28309.95643,20967.56341,16756.09463,47380.996230000004,17434.09512,38863.51146,13455.121480000002,44029.51436
86,May 1995,32583.71339,21643.63275,19142.695509999998,55716.724650000004,20710.42882,49801.195739999996,11739.82566,41984.18888
87,May 1996,35671.2825,23502.49897,20318.008,63579.288759999996,19296.6453,54876.08771,13336.040280000001,46063.96422
88,May 1997,37207.994099999996,21077.0367,20964.25484,63158.24138,25828.5994,55398.3835,19468.3121,49726.61519
89,May 1998,42098.57328,16851.46452,25428.2788,54703.58772,23563.04504,60146.670020000005,16964.90985,36869.20762
90,May 1999,43026.852199999994,16474.6718,26595.80242,68495.24956,26621.39969,70511.60035,18337.40891,43944.53187
