,month_year,"Business and Systems Analysts, and Programmers nfd",Computer Network Professionals,"Database and Systems Administrators, and ICT Security Specialists",Electronic Engineering Draftspersons and Technicians,Electronics Engineers,"Engineering, ICT and Science Technicians nfd","Graphic and Web Designers, and Illustrators",ICT Business and Systems Analysts,ICT Managers,ICT Managers nfd,ICT Network and Support Professionals nfd,ICT Professionals nfd,ICT Sales Professionals,ICT Support Technicians,ICT Support and Test Engineers,ICT Trainers,ICT and Telecommunications Technicians nfd,Management and Organisation Analysts,Multimedia Specialists and Web Developers,Other Information and Organisation Professionals,Software and Applications Programmers,Telecommunications Engineering Professionals,Telecommunications Technical Specialists,Telecommunications Trades Workers
0,August 1986,,5492.39385,7290.16016,17638.67912,4131.13642,,9877.57471,5612.63944,6074.69064,,,2821.99749,5406.23936,14198.51882,374.30762,2314.13422,,12769.59926,862.277,2369.76762,19274.68868,5947.02054,7035.54335,40243.39359
1,August 1987,,6500.79363,8728.13662,18461.91496,4519.61171,,10720.63352,6719.7267,8880.20694,,,3378.63352,5892.60336,16413.72166,438.93322,2611.34186,,13259.87877,1032.36023,2646.15274,23041.37633,6506.25419,7355.19071,33296.96651
2,August 1988,,7503.11006,10199.2841,21287.27096,4750.14876,,11525.76412,7852.35207,8473.00204,,,3948.10997,5750.1397,17493.83906,468.03864,3229.80239,,12888.94372,1206.36694,2885.02215,26917.85509,6838.12621,8515.3028,35261.31146
3,August 1989,,8481.72022,11565.60375,18200.91824,5235.63557,,12557.02252,8904.27127,9995.76427,,,4477.0079,7154.26704,17839.83406,477.20644,3283.81295,,14197.78734,1367.97466,3414.10082,30515.58042,7537.01385,7233.91411,33252.08331
4,August 1990,,10369.16475,14460.27884,19028.42051,5207.26504,,11748.85697,11132.85985,9402.14003,,,5597.52729,7145.0009,19510.99868,522.81473,3437.50934,,14368.44641,1710.35556,3332.64214,38107.5881,7496.17275,7556.85769,37722.35452
5,August 1991,,10363.83806,14584.54534,17190.68909,4714.91216,,14088.01358,11228.53168,9216.31483,,,5645.63045,7623.80232,20066.14151,535.36211,3599.22112,,17170.77792,1725.05375,3974.9425,38436.32683,6787.401,6795.04234,33942.94446
6,August 1992,,10340.45638,14566.10379,18605.82805,4650.49944,,13565.57366,11214.33368,10114.74676,,,5638.49178,6638.17889,20968.11727,564.81436,3692.98442,,15328.67282,1722.87249,3881.22289,38385.79037,6694.67502,7378.20543,30861.72094
7,August 1993,,10104.60441,14495.53105,17987.5598,3571.50064,,13943.98462,11160.00023,8114.44546,,,5611.1733,6953.49356,22171.21186,591.31524,3825.94219,,17129.35379,1714.52519,4389.00067,38191.43173,5141.39102,7131.62942,28829.3717
8,August 1994,,10774.09754,15077.11933,15016.71941,5216.73487,,16246.62159,11607.76068,10414.12988,,,5836.30425,6797.61023,24538.0462,661.73824,4270.87256,,18059.25049,1783.31519,4812.06334,39745.15176,7509.80513,5915.89336,27249.39276
9,August 1995,,13236.01166,19062.99994,15694.46423,4398.25309,,17849.45382,14676.46016,8593.14765,,,7379.22578,7532.31181,26182.74479,703.86952,4033.33805,,17451.01802,2254.76344,3959.80894,50205.8542,6331.55117,6179.45591,33461.05625
10,August 1996,,12833.02344,18620.56187,14609.78106,3751.36604,,22305.98763,14335.83043,13836.7185,,,7207.95943,6556.77679,20533.80653,595.18281,3816.41864,,19850.42464,2202.43206,6079.75365,48733.81459,5400.31813,5996.55192,30943.87024
11,August 1997,,14891.67367,21226.36904,16887.35124,5770.81968,,27141.86187,16342.02177,15479.51083,,,8216.65897,5373.51516,25401.47599,736.27466,3928.74843,,25421.39231,2510.64581,5812.63088,55553.74438,8307.44372,6931.37549,34365.0103
12,August 1998,,16615.94598,24092.58815,8775.49947,4920.21439,,25344.3388,18548.7023,15876.03066,,,9326.16318,10094.00998,15027.29439,435.57376,4213.0874,,27446.07338,2849.66097,5871.36268,63055.22536,7082.94602,3601.8841,28403.13457
13,August 1999,,16749.83061,24163.61509,10454.96244,5417.58524,,20437.37416,18603.38537,12821.79837,,,9353.65747,9426.7018,24742.60227,717.17688,5070.33487,,20926.77358,2858.06201,6029.72813,63241.11734,7798.94139,4291.21592,28476.79989
14,August 2000,,18719.60263,27392.69879,11354.61947,4614.02778,642.39049,28937.32606,21089.43262,17380.9038,,,10603.62534,9511.74449,23153.31809,671.11066,4283.60612,,31096.27,3239.99663,6487.89173,71692.28906,6642.17186,4660.47813,24875.63438
15,August 2001,,19319.97405,28403.45101,13275.50385,4270.38087,160.57131,29601.18383,21867.60316,28433.82684,,,10994.88427,9800.65191,26340.67294,763.49775,4627.94625,,37629.80621,3359.54796,7272.6624,74337.63411,6147.47138,5448.90083,22170.47593
16,August 2002,,21045.69183,31100.62267,8013.04121,4056.56241,252.08695,35013.21977,23944.13529,29150.89026,,,12038.95068,8235.22011,27766.64467,804.8303,4229.88508,,34043.58155,3678.56829,8729.88788,81396.68344,5839.66676,3288.93485,26833.93831
17,August 2003,,20952.82538,30940.05854,9887.35789,4125.40684,1020.0783,35080.96933,23820.5182,26805.73765,,,11976.79685,8312.9489,30961.4396,897.43304,4398.93718,,28033.82376,3659.57683,8793.42771,80976.45431,5938.77248,4058.2439,26837.31779
18,August 2004,,18989.97323,27798.57559,11717.30692,4642.597,1115.46634,30808.152,21401.9141,35227.65516,,,11090.30864,8889.16158,36532.82709,1058.9225,5148.15693,,27402.60922,3288.00358,8025.76269,72754.55158,6683.29899,4809.3424,22224.01252
19,August 2005,,18900.15896,27504.85135,8748.27414,5223.92735,2130.71188,39915.19931,21175.77801,36411.22973,,,11548.19003,7728.39624,41552.13487,1204.40972,4157.49523,,38886.08337,3253.26198,9924.64035,71985.81519,7520.15916,3590.70953,21226.87407
20,August 2006,,22943.47056,31499.00561,7829.42167,6562.96711,104.12787,40290.48094,23023.27674,42978.3237,,,11826.54006,13037.35448,46165.85427,2927.22668,6690.01506,,37671.43249,5103.21111,11206.54368,69282.29116,11340.22543,2905.72629,24408.39341
21,August 2007,,22212.63969,28227.28767,11361.52768,6753.66639,2546.26839,40035.43031,24632.36366,42129.92476,,,15126.9507,9424.14933,47941.63173,3740.07791,3449.48633,,43030.00592,6508.89627,12337.78659,84513.38529,9088.18752,3348.19619,26876.38512
22,August 2008,,24944.42267,38027.44339,7657.6353,5919.53172,868.87428,36962.48725,21511.27086,28079.29416,,,13895.78228,16435.577,52548.73227,5414.66809,4915.2708,,47283.59561,12406.23316,20573.16389,86303.90649,12878.83178,4645.67891,19444.62133
23,August 2009,632.85697,25205.99101,37442.10971,5387.25518,6860.65137,1156.89742,42741.64759,23022.24346,38448.39849,,,13633.51733,16674.00763,35846.70507,8347.95835,4576.87562,461.62794,41764.35054,8717.9671,16738.46602,84490.29996,11115.3433,5059.61907,18604.44123
