,Label,Job Title,All,Entry-Level,Senior
0,25th,Accountant,79000.0,64000.0,107000.0
1,25th,Administrative Assistant,61000.0,50000.0,
2,25th,Biz Ops,90000.0,,142000.0
3,25th,Bizops Manager,101000.0,,144000.0
4,25th,Business Analyst,89000.0,74000.0,130000.0
5,25th,Business Development,155000.0,,167000.0
6,25th,Civil Engineer,74000.0,69000.0,122000.0
7,25th,Customer Service,61000.0,,
8,25th,Customer Success,130000.0,,137000.0
9,25th,Data Analyst,105000.0,80000.0,125000.0
10,25th,Data Science Manager,163000.0,,163000.0
11,25th,Data Scientist,107000.0,77000.0,166000.0
12,25th,Electrical Engineer,77000.0,,
13,25th,Financial Analyst,76000.0,64000.0,132000.0
14,25th,Graphic Designer,96000.0,,
15,25th,Hardware Engineer,92000.0,,
16,25th,Human Resources,139000.0,,147000.0
17,25th,Information Technologist,81000.0,73000.0,116000.0
18,25th,Investment Banker,109000.0,,
19,25th,Legal,122000.0,,
20,25th,Management Consultant,90000.0,71000.0,142000.0
21,25th,Marketing,123000.0,,
22,25th,Marketing Operations,106000.0,,
23,25th,Mechanical Engineer,91000.0,72000.0,107000.0
24,25th,Partner Manager,176000.0,,
25,25th,People Ops,99000.0,,
26,25th,Product Design Manager,190000.0,,190000.0
27,25th,Product Designer,123000.0,79000.0,147000.0
28,25th,Product Manager,155000.0,104000.0,170000.0
29,25th,Program Manager,171000.0,,174000.0
30,25th,Project Manager,120000.0,,140000.0
31,25th,Recruiter,146000.0,,146000.0
32,25th,Sales,124000.0,,
33,25th,Sales Engineer,150000.0,,174000.0
34,25th,Security Analyst,100000.0,65000.0,166000.0
35,25th,Software Engineer,113000.0,81000.0,155000.0
36,25th,Software Engineering Manager,201000.0,,
37,25th,Solution Architect,183000.0,91000.0,192000.0
38,25th,Technical Program Manager,170000.0,,184000.0
39,25th,Ux Researcher,104000.0,,
40,25th,Venture Capitalist,126000.0,,
41,75th,Accountant,120000.0,69000.0,155000.0
42,75th,Administrative Assistant,82000.0,74000.0,
43,75th,Biz Ops,150000.0,,177000.0
44,75th,Bizops Manager,189000.0,,265000.0
45,75th,Business Analyst,138000.0,85000.0,160000.0
46,75th,Business Development,323000.0,,333000.0
47,75th,Civil Engineer,107000.0,88000.0,180000.0
48,75th,Customer Service,101000.0,,
49,75th,Customer Success,292000.0,,303000.0
50,75th,Data Analyst,139000.0,111000.0,165000.0
51,75th,Data Science Manager,251000.0,,252000.0
52,75th,Data Scientist,178000.0,96000.0,261000.0
53,75th,Electrical Engineer,113000.0,,
54,75th,Financial Analyst,127000.0,116000.0,205000.0
55,75th,Graphic Designer,154000.0,,
56,75th,Hardware Engineer,141000.0,,
57,75th,Human Resources,161000.0,,180000.0
58,75th,Information Technologist,151000.0,85000.0,191000.0
59,75th,Investment Banker,213000.0,,
60,75th,Legal,179000.0,,
61,75th,Management Consultant,145000.0,97000.0,225000.0
62,75th,Marketing,196000.0,,
63,75th,Marketing Operations,148000.0,,
64,75th,Mechanical Engineer,137000.0,80000.0,194000.0
65,75th,Partner Manager,299000.0,,
66,75th,People Ops,175000.0,,
67,75th,Product Design Manager,246000.0,,246000.0
68,75th,Product Designer,181000.0,99000.0,199000.0
69,75th,Product Manager,212000.0,164000.0,222000.0
70,75th,Program Manager,241000.0,,241000.0
71,75th,Project Manager,173000.0,,178000.0
72,75th,Recruiter,165000.0,,165000.0
73,75th,Sales,275000.0,,
74,75th,Sales Engineer,263000.0,,390000.0
75,75th,Security Analyst,171000.0,77000.0,275000.0
76,75th,Software Engineer,188000.0,126000.0,225000.0
77,75th,Software Engineering Manager,288000.0,,
78,75th,Solution Architect,264000.0,145000.0,268000.0
79,75th,Technical Program Manager,275000.0,,280000.0
80,75th,Ux Researcher,218000.0,,
81,75th,Venture Capitalist,209000.0,,
82,90th,Accountant,155000.0,71000.0,164000.0
83,90th,Administrative Assistant,99000.0,108000.0,
84,90th,Biz Ops,177000.0,,437000.0
85,90th,Bizops Manager,265000.0,,280000.0
86,90th,Business Analyst,160000.0,108000.0,215000.0
87,90th,Business Development,376000.0,,376000.0
88,90th,Civil Engineer,151000.0,90000.0,194000.0
89,90th,Customer Service,164000.0,,
90,90th,Customer Success,303000.0,,309000.0
91,90th,Data Analyst,155000.0,114000.0,183000.0
92,90th,Data Science Manager,292000.0,,292000.0
93,90th,Data Scientist,249000.0,122000.0,299000.0
94,90th,Electrical Engineer,126000.0,,
95,90th,Financial Analyst,205000.0,122000.0,230000.0
96,90th,Graphic Designer,163000.0,,
97,90th,Hardware Engineer,220000.0,,
98,90th,Human Resources,180000.0,,229000.0
99,90th,Information Technologist,191000.0,124000.0,238000.0
100,90th,Investment Banker,234000.0,,
101,90th,Legal,208000.0,,
102,90th,Management Consultant,184000.0,120000.0,279000.0
103,90th,Marketing,229000.0,,
104,90th,Marketing Operations,168000.0,,
105,90th,Mechanical Engineer,187000.0,83000.0,204000.0
106,90th,Partner Manager,318000.0,,
107,90th,People Ops,276000.0,,
108,90th,Product Design Manager,307000.0,,307000.0
109,90th,Product Designer,203000.0,122000.0,222000.0
110,90th,Product Manager,269000.0,201000.0,295000.0
111,90th,Program Manager,288000.0,,288000.0
112,90th,Project Manager,212000.0,,212000.0
113,90th,Recruiter,200000.0,,200000.0
114,90th,Sales,392000.0,,
115,90th,Sales Engineer,390000.0,,432000.0
116,90th,Security Analyst,272000.0,82000.0,357000.0
117,90th,Software Engineer,235000.0,157000.0,283000.0
118,90th,Software Engineering Manager,386000.0,,
119,90th,Solution Architect,323000.0,157000.0,323000.0
120,90th,Technical Program Manager,350000.0,,350000.0
121,90th,Ux Researcher,298000.0,,
122,90th,Venture Capitalist,244000.0,,
123,Median,Accountant,104512.0,64425.0,117639.0
124,Median,Actuary,148402.0,,
125,Median,Administrative Assistant,71436.0,61934.0,83885.0
126,Median,Biomedical Engineer,105261.0,96646.0,
127,Median,Biz Ops,130284.0,78548.0,149717.0
128,Median,Bizops Manager,158188.0,,175295.0
129,Median,Business Analyst,114407.0,79928.0,147608.0
130,Median,Business Development,244163.0,77163.0,298054.0
131,Median,Chemical Engineer,111716.0,,
132,Median,Chief Of Staff,219956.0,,
133,Median,Civil Engineer,87553.0,70984.0,148827.0
134,Median,Customer Service,73934.0,,
135,Median,Customer Service Ops,99097.0,,
136,Median,Customer Success,162771.0,,183146.0
137,Median,Data Analyst,119283.0,93341.0,142254.0
138,Median,Data Science Manager,174984.0,,182977.0
139,Median,Data Scientist,147042.0,90536.0,192107.0
140,Median,Electrical Engineer,97806.0,,
141,Median,Financial Analyst,104911.0,97540.0,169448.0
142,Median,Graphic Designer,124455.0,,153599.0
143,Median,Hardware Engineer,120512.0,78211.0,201536.0
144,Median,Human Resources,152343.0,67523.0,156820.0
145,Median,Information Technologist,108012.0,79291.0,149778.0
