date,tech_occupation,n,percent,% of labour force in tech occupations (smoothed),Month Year
1986-11-01,Tech,293,5.539799584042352,5.5,November 1986
1987-02-01,Tech,290,5.526967791118734,5.5,February 1987
1987-05-01,Tech,283,5.393558223746903,5.5,May 1987
1987-08-01,Tech,288,5.458680818802123,5.4,August 1987
1987-11-01,Tech,282,5.361216730038023,5.4,November 1987
1988-02-01,Tech,287,5.4750095383441435,5.5,February 1988
1988-05-01,Tech,291,5.550257486172039,5.5,May 1988
1988-08-01,Tech,287,5.4907212550220015,5.5,August 1988
1988-11-01,Tech,292,5.541848548111596,5.5,November 1988
1989-02-01,Tech,289,5.477634571645186,5.5,February 1989
1989-05-01,Tech,290,5.46036527960836,5.5,May 1989
1989-08-01,Tech,291,5.486425339366516,5.5,August 1989
1989-11-01,Tech,296,5.538922155688622,5.5,November 1989
1990-02-01,Tech,296,5.506976744186046,5.5,February 1990
1990-05-01,Tech,300,5.593884020137983,5.6,May 1990
1990-08-01,Tech,298,5.581569582318786,5.6,August 1990
1990-11-01,Tech,294,5.560809532816342,5.6,November 1990
1991-02-01,Tech,295,5.541987600976893,5.5,February 1991
1991-05-01,Tech,295,5.501678478179784,5.5,May 1991
1991-08-01,Tech,294,5.519053876478318,5.5,August 1991
1991-11-01,Tech,296,5.559729526671676,5.6,November 1991
1992-02-01,Tech,301,5.6356487549148095,5.6,February 1992
1992-05-01,Tech,299,5.6255879586077135,5.6,May 1992
1992-08-01,Tech,294,5.506649185240682,5.5,August 1992
1992-11-01,Tech,291,5.410933432502789,5.5,November 1992
1993-02-01,Tech,291,5.4392523364485985,5.5,February 1993
1993-05-01,Tech,296,5.502881576501208,5.5,May 1993
1993-08-01,Tech,294,5.4585963609357595,5.5,August 1993
1993-11-01,Tech,300,5.558643690939411,5.5,November 1993
1994-02-01,Tech,297,5.504077094143811,5.5,February 1994
1994-05-01,Tech,300,5.551443375277572,5.5,May 1994
1994-08-01,Tech,294,5.451511218245874,5.5,August 1994
1994-11-01,Tech,301,5.570979085693133,5.5,November 1994
1995-02-01,Tech,298,5.529782891074411,5.5,February 1995
1995-05-01,Tech,295,5.4680259499536605,5.5,May 1995
1995-08-01,Tech,293,5.425925925925926,5.5,August 1995
1995-11-01,Tech,297,5.486791058562719,5.4,November 1995
1996-02-01,Tech,292,5.407407407407407,5.5,February 1996
1996-05-01,Tech,301,5.553505535055351,5.6,May 1996
1996-08-01,Tech,266,5.86807853518641,5.7,August 1996
1996-11-01,Tech,261,5.747632680026426,5.8,November 1996
1997-02-01,Tech,261,5.756506396118218,5.8,February 1997
1997-05-01,Tech,269,5.910788837618106,5.9,May 1997
1997-08-01,Tech,269,5.971143174250832,6.0,August 1997
1997-11-01,Tech,275,6.097560975609756,6.0,November 1997
1998-02-01,Tech,271,6.077595873514241,6.1,February 1998
1998-05-01,Tech,270,6.002667852378836,6.1,May 1998
1998-08-01,Tech,271,6.07078853046595,5.9,August 1998
1998-11-01,Tech,257,5.757168458781362,5.9,November 1998
1999-02-01,Tech,264,5.871886120996441,5.8,February 1999
1999-05-01,Tech,265,5.911220165068035,6.0,May 1999
1999-08-01,Tech,274,6.086183918258552,6.0,August 1999
1999-11-01,Tech,266,5.9348505131637665,6.1,November 1999
2000-02-01,Tech,279,6.148082855883649,6.0,February 2000
2000-05-01,Tech,272,6.009721608484313,6.0,May 2000
