,Label,Accountant,Business Analyst,Civil Engineer,Customer Service,Data Analyst,Data Scientist,Financial Analyst,Information Technologist,Management Consultant,Marketing,Mechanical Engineer,Product Designer,Product Manager,Sales,Security Analyst,Software Engineer,Software Engineering Manager,Solution Architect,Technical Program Manager
0,ANZ,,,,,135972.0,,,,,,,,,,,,,,
1,Accenture,,,,,,,,,111281.0,,,,,,,,,,
2,Adelaide,64378.0,,,,,,,,,,,,,,,,,,
3,Amazon,,194558.0,,,,,,165275.0,,207202.0,,,208318.0,268838.0,330858.0,,314387.0,296362.0,218455.0
4,Atlassian,,,,162423.0,,269338.0,,113241.0,,,,254974.0,281124.0,,170838.0,,444489.0,,
5,Block,,,,,,,,,,,,,,,,255868.0,,,
6,Brisbane,,,82991.0,,,,109038.0,,,,,,,,,,,,
7,Canva,,,,,,166374.0,,,,233007.0,,182049.0,,,,,276425.0,,177105.0
8,Commonwealth Bank,,,,,123895.0,,,,,,,,,,,,,,
9,Deloitte,,,,,,,,132755.0,114523.0,,,,,,,,,,
10,Google,,,,,,,,,,,,188116.0,243902.0,302127.0,232194.0,256699.0,,,
11,Kearney,,123575.0,,,,,,,,,,,,,,,,,
12,Melbourne,106499.0,,99319.0,,,,115848.0,,,,98495.0,,,,,,,,
13,Microsoft,,,,,,,,,,,,,,287767.0,,,,237975.0,263357.0
14,NAB,,127933.0,,66426.0,,,,,,,,,,,,,,,
15,Perth,,,,,,,,,,,123707.0,,,,,,,,
16,Quantium,,,,,101160.0,,,,,,,,,,,,,,
17,Rokt,,,,,,,,,,,,,,,,268658.0,,,
18,SafetyCulture,,,,,,,,,,141856.0,,,,,,,,,
19,Simon-Kucher,,,,,,,,,111970.0,,,,,,,,,,
20,Sydney,104512.0,,90858.0,,,,104911.0,,,,106586.0,,,,,,,,
21,Telstra,,,,,,,,,,,,,,,,,,206649.0,
22,Westpac,,,,,113376.0,181433.0,,,,,,,,,,,,,
23,Woolworths Supermarkets,,,,51461.0,,,,,,,,,,,,,,,
