,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
47,Top Location,Ranking,1.0,Sydney,156003,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
48,Top Location,Ranking,2.0,Melbourne,131927,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
49,Top Location,Ranking,3.0,Perth,131201,Software Engineer,All,Australia,https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
57,Top Location,Ranking,1.0,Sydney,156123,Software Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
58,Top Location,Ranking,2.0,Melbourne,131927,Software Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
59,Top Location,Ranking,3.0,Perth,131201,Software Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
67,Top Location,Ranking,1.0,Sydney,156003,Software Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
68,Top Location,Ranking,2.0,Melbourne,131927,Software Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
69,Top Location,Ranking,3.0,Perth,131201,Software Engineer,Senior,Australia,https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
77,Top Location,Ranking,1.0,Brisbane,232668,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
78,Top Location,Ranking,2.0,Melbourne,182918,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
79,Top Location,Ranking,3.0,Sydney,166863,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
92,Top Location,Ranking,1.0,Perth,137041,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
93,Top Location,Ranking,2.0,Sydney,113241,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
94,Top Location,Ranking,3.0,Melbourne,108012,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
102,Top Location,Ranking,1.0,Perth,137041,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
103,Top Location,Ranking,2.0,Sydney,113241,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
104,Top Location,Ranking,3.0,Melbourne,108012,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
112,Top Location,Ranking,1.0,Perth,137041,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
113,Top Location,Ranking,2.0,Sydney,113241,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
114,Top Location,Ranking,3.0,Melbourne,108012,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
131,Top Location,Ranking,1.0,Brisbane,157918,Security Analyst,All,Australia,https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
132,Top Location,Ranking,2.0,Melbourne,142324,Security Analyst,All,Australia,https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
133,Top Location,Ranking,3.0,Sydney,134350,Security Analyst,All,Australia,https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
141,Top Location,Ranking,1.0,Brisbane,157918,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
142,Top Location,Ranking,2.0,Melbourne,142324,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
143,Top Location,Ranking,3.0,Sydney,134350,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
151,Top Location,Ranking,1.0,Brisbane,157918,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
152,Top Location,Ranking,2.0,Melbourne,142324,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
153,Top Location,Ranking,3.0,Sydney,134350,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
168,Top Location,Ranking,1.0,Brisbane,186199,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
169,Top Location,Ranking,2.0,Melbourne,147440,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
170,Top Location,Ranking,3.0,Sydney,126853,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
178,Top Location,Ranking,1.0,Brisbane,186199,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
179,Top Location,Ranking,2.0,Melbourne,147440,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
180,Top Location,Ranking,3.0,Sydney,126853,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
188,Top Location,Ranking,1.0,Brisbane,186199,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
189,Top Location,Ranking,2.0,Melbourne,147440,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
