ABN,Tech offices_ACT,Tech offices_NSW,Tech offices_NT,Tech offices_QLD,Tech offices_VIC,Tech offices_WA,Tech offices_SA,Tech offices_TAS,Tech offices_No offices - Remote workers only,Tech sector_B2B,Tech sector_Consumer and B2B2C,Tech sector_Defence / intelligence,Tech sector_Education,Tech sector_Emerging,Tech sector_Enabling,Tech sector_Energy / environment,Tech sector_FinTech,Tech sector_Life sciences / health,Tech sector_Primary Industries,Tech sector_VC / Investor / Incubator
11119159741,,,,,x,,,,,x,x,,,,,,,,,
11160047709,,x,,,,,,,,,,,,,,,x,,,
12138600987,,,,,,,,,,x,,,,,,,,,,
13162622282,,,,,,,,,,,,,,,,,,,,x
15657508088,,x,,,,,,,,,,x,,,,,,,,
16089180049,,x,,,,,,,,x,,,,,,,,,,
16615963187,,,,,,,,,,,,,,,,,,,,x
16668232871,x,x,,,,,,,,,,x,,,,,,,,
18687659196,,x,,,,,,,,x,,,,,,,,,,
18645330481,,,,,,,,,,,,,,,,,,,x,
19138767021,,x,,,,x,,,,x,,,,,,,,,,
19645471058,x,x,,,,,,,,x,,,,,,,,,,
19622481190,,x,,,,,,,,,x,,,,,,,,,
20603823276,,x,,,,,,,,x,,,,,,,,,,
20661614357,,x,,,,,,,,,,,,x,,,,,,
22164411607,,x,,,x,,,,,,,,,,,,,,,x
22621672893,,,,,,,,,,x,,,,,,,,,,
23135181136,,x,,,,,,,,,,,,,,,x,,,
24149390625,,x,,,,,,,,,,,,,,,x,,,
25092807264,,x,,,,,,,,x,,,,,,,,,,
25669469489,,x,,x,,,,,,,,,,,x,,,,,
26120853054,x,,,,,,,,,,,,,x,,,,,,
28655498105,,,,,x,,,x,,x,,,,,,,,,,
28688298510,,x,,,,,,,,,,,,,,,,,,x
29002589460,x,x,,x,x,x,,,,,x,,,,,,,,,
29603489229,,x,,,,,,,,,,,,,,,,,,x
30122704796,,,,x,,,,,,x,,,,,,,,,,
32600120787,,x,,,,,,,,x,,,,,,,,,,
33102417032,,x,,x,x,x,,,,,x,,,,,,,,,
33608611687,,x,,,,,,,,,,,,,,,,,,x
34128711348,x,,,,,,,,,,,,,,,,,,x,
34169451503,,,,,,,,,,x,,,,,,,,,,
35069662817,,x,,,,,,,,,,,,,x,,,,,
36621802097,,,,,,,,,,,,,,,,,x,,,
37168681212,x,x,,,,,,,,,,x,,,,,,,,
37609653312,,,,,,,,,,,,,,,,,x,,,
37645234171,,x,,,x,,x,,,,,,x,,,,,,,
38079009340,,,,,x,,,,,x,,,,,,,,,,
38167106176,,,,,,,,,,,,,,,,,x,,,
41065894724,,,,,,,,,,x,,,,,,,,,,
41163930185,,,,,,x,x,,,,,,,,,x,,,,
41687119230,,,,,,,,,,,,,,,x,,,,,
42636303501,x,,,,,,,,,,,,,x,,,,,,
44668560610,x,x,,,,,,,,,,x,,,,,,,,
45094235373,,,,,,,,,,x,,,,,,,,,,
46002510054,x,x,,x,x,x,x,,,,x,,,,,,,,,
46080075314,,,,,,,,,,x,x,,,,,,,,,
47092364719,,x,,,,,,,,,x,,,,,,,,,
47600787139,x,,,,,,,,,x,,,,,,,,,,
47626106492,,x,,,,,,,,x,,,,,,,,,,
48162577586,,x,,,,,,,,,x,,,,,,,,,
49096776895,x,x,,x,x,,x,,,x,,,,,,,,,,
49156101549,x,x,,,,,,,,x,,x,,,,,,,,
49160299865,,,,,,,,,,x,x,,,,,,,,,
49608872153,,,,,,,,,,x,,,,,,,,,,
50659779129,,,,x,,,,,,,,,,,x,,,,,
51164352229,,x,,,,,,,,,,,,,,,,,,x
51648878148,,x,,,,,,,,,,,,,x,,,,,
52658551529,,,,,,,,,,x,,,,,,,,,,
53102443916,,x,,,,,,,,x,,,,,,,,,,
53149850457,,,,,,,,,,x,x,,,,,,,,,
53628360323,,x,,,,,,,,,,,,,,,,,,x
54068349066,,x,,,x,,,,,x,x,,,,,,,,,
56004071854,,,,,x,,,,,,,,,,x,,,,,
56613605360,,x,,,,,,,,,,,,,,,,x,,
56650620303,x,x,,x,x,x,x,,,x,x,,,,,,,,,
58613484754,,,,,,,,,,,x,,,,,,,,,
59648067725,,,,,,,,,,,,,,,,,,,,x
60652862050,,,,,x,,,,,,,,,,x,,,,,
605953213,,x,,,,,,,,x,,,,,,,,,,
616040575983,,,,,,,,,,,,,,,,,x,,,
61626225625,,x,,,,,,,,,,,,x,,,,,,
61633634015,,x,,,,,,,,,,,,,,,,,,x
618786959,,,,,x,,,,,x,,,,,,,,,,
62000361633,,x,,,,,,,,x,,,,,,,,,,
63645453489,,x,,,,,,,,,,,,x,,,,,,
64123993233,,x,,,,,x,,,,,,,x,,,,,,
64652016681,,x,,,,,,,,x,x,,,,,,,,,
65163437429,x,,,,,,,,,,,,,,,x,,,,
66008642751,x,x,,x,x,x,x,,,x,,x,,,,,,,,
66160180343,,,,,,,,,,,,,,,,,x,,,
67608159860,,x,,,,,,,,x,x,,,,,,,,,
67648935282,,x,,,,,,,,,x,,,,,,,,,
679081684,,x,,,,,,,,,,,,,x,,,,,
68154200996,,x,,,,,,,,,,,,,,,,,,x
70615621577,,,,,,,,,,,,,,,,,,x,,
72054247835,,x,,,,,,,,x,x,,,,,,,,,
72623556730,,,,x,,,,,,,,,,,,,x,,,
72663937746,,,,,,,,,,,,,,,x,,,,,
73615253408,,x,,,,,,,,x,x,,,,,,,,,
73668341651,,,,,,x,,,,,,x,,,,,,,,
74122172365,,x,,,x,,,,,x,x,,,,,,,,,
74609165906,,x,,,,,,,,,,,,,,,x,,,
74629090286,,x,,,,,,,,,,,,,,,,,,x
75154840507,,,,,,,,,,x,,,,,,,,,,
75169881430,,,,x,,,,,,x,,,,,,,,,,
76652786046,,x,,,,,,,,x,,,,,,,,,,
78116154904,,x,,,,x,,,,,,,x,,x,,,,,
78622325535,x,x,,,,,,,,,,,,,x,,,,,
79000024733,,x,,,,,,,,x,,,,,,,,,,
79055136804,x,x,,x,x,x,x,,,,x,,,,,,,,,
80158929938,,,,,,,,,,,x,,,,,,,,,
80162890379,,x,,,,,,,,x,x,,,,,,,,,
80656222883,,x,,,,,,,,,,,,x,,,,,,
81672747714,,,,,,,,,,x,,,,,,,,,,
82609904289,,x,,,,,,,,,,,,,,,,,,x
82618090010,,,,,,,,,,x,,,,,,,,,,
83622371733,,x,,,,,,,,,x,,,,,,,,,
83656231300,,,,,,,,,,,,,,,,,,,,x
84010487180,x,x,,x,,,,,,x,,,,,,,,,,
84152533278,,,,,x,,,,,x,x,,,,,,,,,
84606633443,,x,,,,,,,,x,,,,,,x,,,,
84608846822,x,x,x,x,x,x,,,,x,x,,,,,,,,,
85139261822,,x,,,,,,,,x,,,,,,,,,,
86603542918,,x,,,,,,,,,,,x,,,,x,,,
86618545323,,x,,,,,,,,,x,,,,,,,,,
87609487103,,x,,,,,,,,,,,,,x,,,,,
88633007860,,,,,,,,,,,x,,,,,,x,,,
89099273846,,x,,,,,,,,x,,,,,,,,,,
89626193351,,x,,,,,,,,x,x,,,,,,,,,
89654922442,,x,,,,,,,,,,,,x,,,,,,
89124215247,,,,,,,,,,x,,,,,,,,,,
90629363328,,x,,x,x,,,,,,,,,,x,,,,,
90635715785,x,,,,,,,,,x,,,,,,,,,,
91074444018,,x,,,x,,x,,,,x,,,,,,,,,
91133632327,,x,,,,,,,,,,,,,,,,,,
91134998020,,,,x,,,,,,x,,,,,,,,,,
92140677792,,,,,,,,,,,,,,,,,x,,,
92619102608,,x,,,,,,,,,,,,x,,,,,,
93159044989,,,,,,,,,,,,,,,,,,,,x
93606583706,,,,,,,,,,x,x,,,,,,,,,
95082931600,x,x,,x,x,x,x,,,x,x,,,,,,,,,
95650934455,,,,,,x,,,,,,,,,,x,,,,
96634446030,,x,,,,,,,,x,x,,,,,,,,,
97608498639,,x,,,,,,,,x,,,,,,,,,,
97645621610,,,,,x,,,,,,,,,,,,,,x,
99165644459,,,,,,,,,,x,,,,,,,,,,
